No,Site Name,Structure Type,Country,Nearest Town,Latitude,Longitude,UTM Zone,UTM Easting,UTM Northing ,Start_Year,Used_in_analysis,Source_Type,Language,Reference
99,Skelia Menhirs ,Menhir,Ukraine,Rodnykivske,44.46534,33.84878,36T,567516,4923910,-5000,Yes,SC,EN,
100,Dolmens Of Oreanda,Neolithic site,Ukraine,Yalta ,44.458031,34.132489,36T,590095,4923371,-5000,Yes,SC,EN/UA/RU,Yes (No. 100)
101,Nabta Playa site,Neolithic site,Egypt, Wadi Halfa,22.51,30.73,36N,406600,2464100,-6400,No,PR,EN,Yes (No. 101)
102,Songjeong-ri Ipseok ,Menhir,South Korea,Busan,35.32,129.26,52S,427000,3721000,-4400,No,SC,EN,
103,Dumun-ri in Gadeokdo,Dolmen,South Korea,Busan,35.02,128.74,52S,426000,3697000,-4400,No,SC,EN,
104,Gadeokdo Site,Neolithic site,South Korea,Busan,35.02,128.75,52S,426500,3697000,-4400,No,PR/ER,EN/KR,Yes (No. 104)
105,Østerskoven Bautasten,Menhir, Denmark,Nykøbing Falster,54.858832,12.122506,33U,315311,6082876,-4000,Yes,SC,EN,
106,Dobřeň site,Neolithic site, Czech,Kutná Hora,49.9489,15.2681,33U,521345,5532992,-5600,Yes,SC/ER,EN/CS,Yes (No. 106)
107,Dolmen of Kbíl ,Dolmen, Czech, Strakonice,49.21947,13.843704,33U,415799,5452497,-5600,Yes,SC,EN,
"Note: In the Source_Type column, short codes are used: PR = Peer-reviewed, ER = Excavation Report, MC = Museum Catalogue, TH = Thesis, SC = Secondary compilation.",,,,,,,,,,,,,,
,"No.  4.  Inhabited from at least early–mid 5th millennium BCE (Late Neolithic/Copper Age), based on ceramic finds and structural traces. Later reused through Thracian, Roman, Byzantine periods. ",,,,,,,,,,,,,
,"No. 10. Excavated and studied extensively; see Nikolov, V. (2021). Life and death of a Neolithic house. Studia Praehistorica 15, 1–72.",,,,,,,,,,,,,
,"No. 12. Brøndsted, J. (1929). Danmarks Oldtid.Riismøller, P. (1950). Nationalmuseet Kopenhagen, Danske Afd. Kulturarvstyrelsen site record (ID: 120310-174).",,,,,,,,,,,,,
,"No. 13. Documented via secondary compilations (Megalithic Portal). Likely part of the wider Grasse/Saint-Cézaire megalithic landscape. Contextual references: Courtin (1962, 1974); Bouville (1971, Doctoral Thesis).",,,,,,,,,,,,,
,"No. 18. Excavated in 1874 by the Société archéologique du Périgord. Finds included pottery fragments, stone tools (axes, scrapers, arrowheads), wooden remains, charcoal, and unburnt human burials.",,,,,,,,,,,,,
,"No. 21. Neolithic gallery grave. Excavated late 19th–early 20th c.; finds included human remains, ceramic sherds, polished axes. Reference: T4T35 – Mégalithes du Morbihan, p.192 (site ID ALBOTQ).",,,,,,,,,,,,,
,No. 26. Documented in secondary compilations (Megalithic Portal). Local archaeological inventories in Italian also reference the site. ,,,,,,,,,,,,,
,"No. 32. Robin, G. (2016). Art and death in Late Neolithic Sardinia: the role of carvings and paintings in domus de janas rock-cut tombs. Cambridge Archaeological Journal 26, 429–469.",,,,,,,,,,,,,
,No. 35. Documented via secondary compilations (Megalithic Portal). French-language references include regional heritage inventories. ,,,,,,,,,,,,,
,No. 41. Documented via secondary compilations (Megalithic Portal). Excavation reports exist in English Heritage archives. ,,,,,,,,,,,,,
,No. 43. Documented via secondary compilations (Megalithic Portal). German-language excavation reports and inventories exist. ,,,,,,,,,,,,,
,No. 50. Documented via secondary compilations (Megalithic Portal). Official records exist in NISMR/Archaeological Survey of Ireland. ,,,,,,,,,,,,,
,No. 54. Early–Middle Neolithic (~6600 BCE). Documented via secondary compilations (Megalithic Portal). Excavation reports and research exist (Hebrew/English). ,,,,,,,,,,,,,
,No. 57.  Early Neolithic (~6100 BP). Documented via secondary compilations (Megalithic Portal). Excavation reports and Heritage Malta documentation exist. ,,,,,,,,,,,,,
,No. 64. Documented via secondary compilations (Megalithic Portal). Excavation and research by Gonçalves (1992) and Boaventura (2009). ,,,,,,,,,,,,,
,"No. 67. Documented via secondary compilations (Megalithic Portal). Excavation data referenced in Portuguese archaeological surveys (e.g., Minho megalithic corpus). ",,,,,,,,,,,,,
,"No. 70. Documented in secondary compilations (Megalithic Portal, CANMORE). Neolithic settlement with pits, lithics, and pottery reported. ",,,,,,,,,,,,,
,"No. 75. Recorded in secondary compilations (Megalithic Portal, local heritage inventories). Known as a “pierced stone” type megalith, generally attributed to the Neolithic horizon.",,,,,,,,,,,,,
,"No. 77. Excavated in the 1990s by J. Ramos et al., revealing chamber structure, engravings, and grave goods. While local reports exist (in Spanish), present dataset references secondary compilations. ",,,,,,,,,,,,,
,"No. 81. Excavated in the 20th century, with reports in Spanish regional archaeology journals. Present dataset entry relies on secondary compilations (SC), though Spanish-language excavation reports exist.",,,,,,,,,,,,,
,"No. 85. A representative example of the western Pyrenean dolmen tradition, likely dated to the late 6th millennium BCE. Detailed local excavation reports exist in Spanish.",,,,,,,,,,,,,
,No. 90. Part of the broader Neolithic monument landscape in southern Scandinavia. Swedish-language archaeological documentation exists. ,,,,,,,,,,,,,
,"No. 96. A significant Neolithic settlement. Excavations began in 1993 and continue seasonally, with both Turkish-language excavation reports and English-language summaries available. ",,,,,,,,,,,,,
,"No.100. A substantial necropolis of roughly 40 dolmen structures—ruins still visible—forming part of the broader Crimean megalithic tradition, likely dating to the 5th millennium BCE ",,,,,,,,,,,,,
,"No.101. Wasylikowa, K. et al. Exploitation of wild plants by the early Neolithic hunter-gatherers of the Western Desert, Egypt: Nabta Playa as a case study. Veg. Hist. Archaeobot. 4, 1–17 (1995).",,,,,,,,,,,,,
,"No.104. Kim, B-C. A Social Bioarchaeology of the Site of Gadeokdo, Busan: an experimental approach to the integrated understanding on the Neolithic mortuary practice. Korea Journal of Neolithic Studies 34, 35–64 (2017).",,,,,,,,,,,,,
,"No. 106. Exceptionally well-preserved early Neolithic settlement. Excavations revealed floor plans of four longhouses, clay-extraction pits later used for waste deposition, pottery shards, stone tools, and utensils.",,,,,,,,,,,,,
